brand,total_sessions,viewed_sessions,carted_after_view_sessions,purchased_after_cart_sessions,purchased_sessions,purchase_revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
roubloff,14245,13487,2952,320,487,19704.869999999995,0.21887743753243866,0.10840108401084012,0.02372655149403129
art-visage,16215,14925,3123,418,647,18597.18,0.2092462311557789,0.13384566122318284,0.028006700167504187
kaaral,15503,14780,2518,431,617,18543.14,0.17036535859269283,0.17116759332803813,0.029161028416779432
emil,10081,9886,1014,177,239,17231.410000000003,0.10256928990491604,0.17455621301775148,0.017904106817722032
depilflax,7189,6701,1341,291,488,16810.06,0.20011938516639308,0.21700223713646533,0.04342635427548127
shik,22428,21919,2430,322,440,16516.2,0.11086272183949998,0.1325102880658436,0.014690451206715634
thuya,7531,7316,886,195,251,15281.69,0.12110442864953526,0.2200902934537246,0.02665390924002187
rosi,8346,7744,2044,248,357,14994.119999999999,0.26394628099173556,0.12133072407045009,0.03202479338842975
levrana,12182,11480,2190,326,499,14961.290000000003,0.19076655052264807,0.14885844748858448,0.028397212543554005
jas,14518,14279,1046,188,255,14013.450000000003,0.0732544295819035,0.17973231357552583,0.013166188108410953
matrix,9038,8498,1277,223,359,12942.110000000002,0.15027065191809838,0.17462803445575567,0.02624146858084255
artex,5371,4880,1307,171,250,12683.85,0.267827868852459,0.13083397092578425,0.03504098360655738
de.lux,10659,10056,2150,189,286,12421.720000000001,0.21380270485282418,0.08790697674418604,0.01879474940334129
refectocil,4688,4281,977,189,276,11764.75,0.22821770614342443,0.19344933469805528,0.04414856341976174
swarovski,5477,4956,1043,109,230,11266.689999999999,0.21045197740112995,0.10450623202301054,0.02199354317998386
dewal,10862,10452,1308,224,288,11023.96,0.1251435132032147,0.1712538226299694,0.021431305013394564
levissime,4537,4112,1039,183,307,10987.099999999999,0.2526750972762646,0.17613089509143406,0.04450389105058366
solomeya,15226,14782,2461,270,360,10564.409999999998,0.1664862670815857,0.10971149939049167,0.018265457989446624
nitrimax,9042,8760,1494,386,464,10467.310000000005,0.17054794520547945,0.2583668005354752,0.04406392694063927
benovy,4058,3657,873,160,246,10269.900000000001,0.2387202625102543,0.18327605956471935,0.04375170905113481
markell,7460,7002,1468,222,327,9624.200000000003,0.2096543844615824,0.15122615803814715,0.031705227077977724
missha,12296,11986,1262,225,308,7990.129999999997,0.10528950442182547,0.17828843106180667,0.018771900550642415
insight,6884,6639,813,159,222,7802.4800000000005,0.12245820153637596,0.19557195571955718,0.02394938996836873
kaypro,6552,6348,1159,132,205,7760.0199999999995,0.18257718966603656,0.11389128559102675,0.020793950850661626
sophin,5643,5431,1096,148,197,7573.1,0.2018044559013073,0.13503649635036497,0.027250966672804272
ardell,27489,27231,1670,260,348,7317.33,0.06132716389409129,0.15568862275449102,0.009547941684110021
lador,15215,14680,1525,204,289,7048.2,0.10388283378746593,0.13377049180327868,0.013896457765667575
farmstay,7355,6855,1122,130,212,6909.299999999999,0.16367614879649892,0.11586452762923351,0.018964259664478483
entity,4692,4433,828,88,153,6833.589999999998,0.18678096097450936,0.10628019323671498,0.019851116625310174
coifin,3759,3728,270,91,110,6575.490000000002,0.07242489270386267,0.337037037037037,0.024409871244635194
bodyton,4293,4107,782,117,174,6497.300000000001,0.19040662283905527,0.149616368286445,0.028487947406866325
farmona,3160,3046,455,92,130,6490.420000000001,0.14937623112278398,0.2021978021978022,0.030203545633617858
gehwol,1916,1778,397,96,150,6306.52,0.2232845894263217,0.24181360201511334,0.05399325084364454
kosmekka,12632,12562,666,74,94,6217.58,0.053017035503900654,0.1111111111111111,0.005890781722655628
dizao,4345,3970,831,133,216,5740.700000000001,0.2093198992443325,0.16004813477737664,0.033501259445843826
opi,5150,5013,619,118,156,5721.6,0.12347895471773389,0.19063004846526657,0.023538799122282066
farmavita,8088,7823,1020,154,216,5568.28,0.13038476287869105,0.15098039215686274,0.019685542630704333
bioaqua,9976,9691,1076,110,157,5568.009999999999,0.11103085336910536,0.10223048327137546,0.011350737797956867
beauty-free,4886,4479,1220,106,145,5391.2300000000005,0.2723822281759321,0.08688524590163935,0.0236659968743023
shary,3640,3379,768,114,182,4792.93,0.22728617934300088,0.1484375,0.033737792246226694
joico,2539,2473,325,54,81,4791.61,0.13141932875050547,0.16615384615384615,0.021835826930853213
happyfons,8269,8008,807,107,144,4709.62,0.10077422577422578,0.1325898389095415,0.013361638361638362
jaguar,4573,4507,340,68,86,4628.58,0.0754382072331928,0.2,0.015087641446638562
igrobeauty,3125,2854,621,86,139,4294.58,0.2175893482831114,0.13848631239935588,0.030133146461107218
konad,3534,3348,706,78,109,4262.43,0.2108721624850657,0.11048158640226628,0.023297491039426525
provoc,3825,3663,703,117,160,4191.339999999999,0.1919191919191919,0.16642958748221906,0.03194103194103194
ecolab,3982,3691,674,78,126,4088.5299999999997,0.18260633974532647,0.11572700296735905,0.02113248442156597
estelare,1965,1828,395,63,91,3777.35,0.21608315098468273,0.15949367088607594,0.03446389496717724
orly,4079,3954,621,79,112,3700.8399999999997,0.15705614567526555,0.12721417069243157,0.01997976732422863
limoni,4176,3985,634,66,98,3525.7,0.1590966122961104,0.10410094637223975,0.01656210790464241
dartnails,1900,1741,405,46,63,3361.5700000000006,0.23262492820218264,0.11358024691358025,0.026421596783457783
lamixx,2704,2581,378,67,109,3323.05,0.14645486245641223,0.17724867724867724,0.025958930647036034
osmo,1965,1921,333,42,60,3115.6000000000004,0.17334721499219158,0.12612612612612611,0.021863612701717855
zeitun,3683,3500,606,67,95,3060.62,0.17314285714285715,0.11056105610561057,0.019142857142857142
godefroy,1594,1521,322,72,99,3007.38,0.21170282708744248,0.2236024844720497,0.047337278106508875
skinlite,2963,2720,732,68,105,2961.79,0.2691176470588235,0.09289617486338798,0.025
kiss,3904,3825,627,71,94,2766.01,0.16392156862745097,0.11323763955342903,0.018562091503267975
elskin,944,812,226,39,77,2728.58,0.27832512315270935,0.17256637168141592,0.0480295566502463
almea,2034,1979,260,53,62,2726.0999999999995,0.13137948458817586,0.20384615384615384,0.026781202627589692
lsanic,1662,1572,250,45,70,2621.6000000000004,0.15903307888040713,0.18,0.02862595419847328
lakme,2557,2441,407,73,106,2585.69,0.16673494469479722,0.17936117936117937,0.029905776321179845
sanoto,1102,1086,92,18,22,2499.1400000000003,0.0847145488029466,0.1956521739130435,0.016574585635359115
laboratorium,1520,1435,227,26,35,2494.849999999999,0.15818815331010452,0.1145374449339207,0.018118466898954706
balbcare,1806,1730,341,71,112,2491.31,0.1971098265895954,0.20821114369501467,0.041040462427745665
trind,2923,2832,344,70,95,2471.8999999999996,0.12146892655367232,0.20348837209302326,0.024717514124293787
cristalinas,1502,1394,236,38,58,2380.89,0.16929698708751795,0.16101694915254236,0.027259684361549498
profhenna,1888,1788,422,52,80,2379.86,0.2360178970917226,0.12322274881516587,0.029082774049217
gezatone,2211,2186,216,37,43,2361.66,0.09881061299176579,0.1712962962962963,0.016925892040256175
nitrile,770,670,158,30,50,2270.31,0.23582089552238805,0.189873417721519,0.04477611940298507
siberina,3822,3651,658,52,75,2251.35,0.18022459600109558,0.0790273556231003,0.014242673240208161
lowence,2155,2079,320,60,76,2250.26,0.15392015392015393,0.1875,0.02886002886002886
soleo,2301,2052,440,92,153,2228.39,0.21442495126705652,0.20909090909090908,0.04483430799220273
naomi,1935,1862,278,40,50,2222.73,0.14930182599355532,0.14388489208633093,0.021482277121374866
ypsed,875,834,164,50,70,2195.8900000000003,0.19664268585131894,0.3048780487804878,0.05995203836930456
batiste,1528,1362,263,42,70,2090.34,0.19309838472834068,0.1596958174904943,0.030837004405286344
tertio,2307,2181,300,37,47,2086.9700000000003,0.1375515818431912,0.12333333333333334,0.016964695093993582
s.care,2177,2171,111,14,21,2082.0499999999997,0.051128512206356516,0.12612612612612611,0.006448641179180101
beauugreen,1125,1070,134,27,44,2060.8,0.1252336448598131,0.20149253731343283,0.025233644859813085
keune,3066,2983,277,36,52,2055.55,0.09285953737847805,0.1299638989169675,0.012068387529332886
yu-r,1379,1345,143,35,51,2029.1200000000001,0.10631970260223049,0.24475524475524477,0.026022304832713755
kocostar,1512,1404,359,34,54,2019.2299999999998,0.2556980056980057,0.0947075208913649,0.024216524216524215
ellips,1747,1678,246,52,73,1991.8999999999999,0.1466030989272944,0.21138211382113822,0.03098927294398093
freshbubble,1359,1258,287,34,53,1968.98,0.22813990461049286,0.11846689895470383,0.02702702702702703
matreshka,2622,2538,358,44,60,1955.14,0.14105594956658787,0.12290502793296089,0.017336485421591805
chi,2107,1987,256,37,57,1933.46,0.12883744338198289,0.14453125,0.018621036738802214
kims,2521,2470,189,21,32,1897.2099999999998,0.07651821862348178,0.1111111111111111,0.008502024291497975
petitfee,1279,1189,232,34,52,1857.2300000000005,0.1951219512195122,0.14655172413793102,0.028595458368376788
vosev,2164,2156,124,21,29,1855.2699999999998,0.0575139146567718,0.1693548387096774,0.00974025974025974
enigma,1709,1607,247,37,49,1850.2199999999998,0.1537025513378967,0.14979757085020243,0.023024268823895456
mavala,2610,2548,473,46,63,1807.6399999999999,0.18563579277864992,0.09725158562367865,0.01805337519623234
yllozure,1085,1021,159,20,34,1791.1100000000001,0.15572967678746327,0.12578616352201258,0.019588638589618023
parachute,2959,2844,266,33,53,1751.75,0.09353023909985936,0.12406015037593984,0.011603375527426161
candy,939,853,213,26,42,1732.51,0.24970691676436108,0.12206572769953052,0.03048065650644783
relouis,4303,4126,552,47,67,1718.2900000000002,0.1337857489093553,0.08514492753623189,0.011391177896267571
dermal,1066,957,288,25,49,1532.96,0.30094043887147337,0.08680555555555555,0.02612330198537095
dermacol,7689,7629,247,34,48,1505.89,0.0323764582514091,0.13765182186234817,0.004456678463756717
i-laq,1669,1610,600,24,33,1495.92,0.37267080745341613,0.04,0.014906832298136646
kerasys,1272,1200,228,44,62,1457.8300000000002,0.19,0.19298245614035087,0.03666666666666667
bielenda,1958,1824,336,49,58,1434.9899999999998,0.18421052631578946,0.14583333333333334,0.0268640350877193
babyliss,3744,3702,153,21,27,1402.66,0.041329011345218804,0.13725490196078433,0.005672609400324149
likato,1845,1767,338,33,45,1398.08,0.19128466327108093,0.09763313609467456,0.01867572156196944
protokeratin,1206,1175,241,35,46,1369.59,0.2051063829787234,0.14522821576763487,0.029787234042553193
bespecial,1455,1417,152,26,32,1355.1599999999999,0.10726887791107975,0.17105263157894737,0.01834862385321101
biofollica,1537,1507,158,37,52,1302.8199999999997,0.10484406104844061,0.23417721518987342,0.0245520902455209
ecocraft,839,810,119,27,37,1283.41,0.1469135802469136,0.226890756302521,0.03333333333333333
greymy,573,552,56,15,21,1261.17,0.10144927536231885,0.26785714285714285,0.02717391304347826
treaclemoon,848,792,175,23,34,1245.29,0.22095959595959597,0.13142857142857142,0.02904040404040404
inm,1193,1151,221,49,63,1229.58,0.19200695047784536,0.22171945701357465,0.04257167680278019
barex,1349,1302,151,26,39,1226.83,0.11597542242703533,0.17218543046357615,0.019969278033794162
kezy,2052,1978,201,28,38,1218.14,0.10161779575328615,0.13930348258706468,0.014155712841253791
latinoil,948,911,114,23,33,1152.21,0.1251372118551043,0.20175438596491227,0.025246981339187707
riche,1742,1704,162,28,33,1136.2800000000002,0.09507042253521127,0.1728395061728395,0.01643192488262911
cutrin,1735,1676,228,28,41,1127.8500000000001,0.1360381861575179,0.12280701754385964,0.016706443914081145
eunyul,1060,944,264,27,48,1126.8700000000001,0.2796610169491525,0.10227272727272728,0.028601694915254237
deoproce,1579,1509,249,27,37,1085.52,0.16500994035785288,0.10843373493975904,0.017892644135188866
grace,1355,1316,194,29,35,1030.4,0.1474164133738602,0.14948453608247422,0.022036474164133738
enas,856,820,179,16,22,997.21,0.21829268292682927,0.0893854748603352,0.01951219512195122
estrade,1756,1686,203,21,29,974.87,0.12040332147093713,0.10344827586206896,0.012455516014234875
keen,3109,3016,512,37,50,952.1000000000001,0.16976127320954906,0.072265625,0.01226790450928382
meisterwerk,527,486,108,18,23,946.49,0.2222222222222222,0.16666666666666666,0.037037037037037035
carmex,998,943,92,21,27,887.4200000000001,0.0975609756097561,0.22826086956521738,0.022269353128313893
consly,649,612,114,13,22,873.4899999999999,0.18627450980392157,0.11403508771929824,0.021241830065359478
tannymaxx,1077,1023,191,40,48,861.28,0.18670576735092864,0.2094240837696335,0.039100684261974585
koelf,548,500,82,14,23,837.9200000000001,0.164,0.17073170731707318,0.028
vilenta,1079,1008,183,14,36,822.1800000000001,0.18154761904761904,0.07650273224043716,0.013888888888888888
moyou,1508,1489,164,14,19,821.3100000000001,0.11014103425117529,0.08536585365853659,0.009402283411685695
nefertiti,631,599,110,9,19,780.5500000000001,0.18363939899833054,0.08181818181818182,0.015025041736227046
dr.gloderm,802,775,130,16,19,770.76,0.16774193548387098,0.12307692307692308,0.02064516129032258
avene,1818,1775,128,16,21,756.7700000000001,0.07211267605633803,0.125,0.009014084507042254
blixz,667,614,150,10,19,739.63,0.24429967426710097,0.06666666666666667,0.016286644951140065
luxvisage,963,884,164,19,23,720.48,0.18552036199095023,0.11585365853658537,0.021493212669683258
naturmed,654,635,102,12,18,720.4499999999999,0.16062992125984252,0.11764705882352941,0.01889763779527559
glysolid,861,821,151,25,31,716.8399999999999,0.18392204628501826,0.16556291390728478,0.030450669914738125
enjoy,485,476,71,8,11,689.46,0.14915966386554622,0.11267605633802817,0.01680672268907563
inoface,543,497,128,12,17,657.91,0.2575452716297787,0.09375,0.02414486921529175
aura,291,263,56,12,16,652.1899999999999,0.21292775665399238,0.21428571428571427,0.045627376425855515
litaline,457,446,142,10,13,643.5600000000002,0.3183856502242152,0.07042253521126761,0.02242152466367713
cruset,445,432,104,11,19,635.62,0.24074074074074073,0.10576923076923077,0.02546296296296296
ermine,355,329,49,7,7,624.59,0.14893617021276595,0.14285714285714285,0.02127659574468085
nirvel,639,602,111,23,30,600.48,0.18438538205980065,0.2072072072072072,0.03820598006644518
lebelage,994,954,171,14,20,585.0500000000001,0.1792452830188679,0.08187134502923976,0.014675052410901468
coocla,1259,1210,255,15,21,548.27,0.21074380165289255,0.058823529411764705,0.012396694214876033
beautific,1373,1355,73,11,14,509.48,0.05387453874538745,0.1506849315068493,0.008118081180811807
mane,243,238,45,9,11,508.02,0.18907563025210083,0.2,0.037815126050420166
koreatida,452,441,28,9,13,502.54,0.06349206349206349,0.32142857142857145,0.02040816326530612
elizavecca,1436,1409,100,7,10,487.63000000000005,0.07097232079488999,0.07,0.0049680624556423
ladykin,762,744,106,17,22,470.25,0.1424731182795699,0.16037735849056603,0.0228494623655914
fancy,397,374,67,14,16,469.46,0.17914438502673796,0.208955223880597,0.0374331550802139
fedua,707,696,29,3,7,458.16,0.041666666666666664,0.10344827586206896,0.004310344827586207
bergamo,550,525,89,7,10,457.56,0.16952380952380952,0.07865168539325842,0.013333333333333334
miskin,592,576,56,10,10,429.4100000000001,0.09722222222222222,0.17857142857142858,0.017361111111111112
beautyblender,772,759,68,8,11,418.06,0.08959156785243742,0.11764705882352941,0.010540184453227932
coxir,1153,1139,94,8,10,394.60999999999996,0.08252853380158033,0.0851063829787234,0.007023705004389816
vichy,604,589,61,3,10,375.67,0.1035653650254669,0.04918032786885246,0.0050933786078098476
binacil,259,249,31,3,3,363.96999999999997,0.12449799196787148,0.0967741935483871,0.012048192771084338
note,653,639,77,9,10,351.60999999999996,0.12050078247261346,0.11688311688311688,0.014084507042253521
biorepair,765,754,71,16,16,336.20000000000005,0.09416445623342175,0.22535211267605634,0.021220159151193633
eos,321,304,47,6,10,327.03999999999996,0.15460526315789475,0.1276595744680851,0.019736842105263157
mayamy,271,263,56,7,8,324.75,0.21292775665399238,0.125,0.026615969581749048
herbolive,314,304,47,8,9,324.59,0.15460526315789475,0.1702127659574468,0.02631578947368421
profepil,358,345,27,5,11,307.32,0.0782608695652174,0.18518518518518517,0.014492753623188406
mielle,320,314,45,5,7,288.55,0.14331210191082802,0.1111111111111111,0.01592356687898089
kamill,382,363,81,8,11,287.69,0.2231404958677686,0.09876543209876543,0.02203856749311295
dorena,355,349,57,6,7,284.74,0.16332378223495703,0.10526315789473684,0.017191977077363897
egomania,475,460,94,8,9,263.66999999999996,0.20434782608695654,0.0851063829787234,0.017391304347826087
biore,389,362,54,5,8,253.95999999999998,0.14917127071823205,0.09259259259259259,0.013812154696132596
esquire,30,28,6,2,3,249.73,0.21428571428571427,0.3333333333333333,0.07142857142857142
sawa,374,355,52,9,15,232.32000000000002,0.14647887323943662,0.17307692307692307,0.02535211267605634
plazan,412,386,93,5,10,230.43,0.24093264248704663,0.053763440860215055,0.012953367875647668
veraclara,339,310,63,8,17,227.63,0.2032258064516129,0.12698412698412698,0.025806451612903226
supertan,351,299,86,9,17,220.40999999999997,0.28762541806020064,0.10465116279069768,0.030100334448160536
neoleor,110,107,16,3,4,207.17000000000002,0.14953271028037382,0.1875,0.028037383177570093
finish,234,222,43,6,10,205.54,0.19369369369369369,0.13953488372093023,0.02702702702702703
foamie,140,138,21,4,4,188.41,0.15217391304347827,0.19047619047619047,0.028985507246376812
sun,379,372,26,2,2,186.98000000000002,0.06989247311827956,0.07692307692307693,0.005376344086021506
tosowoong,155,151,27,4,5,184.97,0.17880794701986755,0.14814814814814814,0.026490066225165563
koelcia,152,149,36,2,3,174.32,0.24161073825503357,0.05555555555555555,0.013422818791946308
termix,457,449,36,3,5,163.88,0.0801781737193764,0.08333333333333333,0.0066815144766146995
skipofit,161,157,29,5,8,144.71,0.18471337579617833,0.1724137931034483,0.03184713375796178
labay,122,120,28,2,3,138.26999999999998,0.23333333333333334,0.07142857142857142,0.016666666666666666
resize,125,124,18,2,2,137.68,0.14516129032258066,0.1111111111111111,0.016129032258064516
marutaka-foot,286,282,33,3,6,128.09,0.11702127659574468,0.09090909090909091,0.010638297872340425
bioderma,246,231,22,2,3,127.83000000000001,0.09523809523809523,0.09090909090909091,0.008658008658008658
frozen,46,45,15,2,2,118.57000000000002,0.3333333333333333,0.13333333333333333,0.044444444444444446
kares,178,174,30,3,3,96.58,0.1724137931034483,0.1,0.017241379310344827
tazol,167,157,23,4,6,74.83,0.1464968152866242,0.17391304347826086,0.025477707006369428
radius,93,92,14,2,2,60.349999999999994,0.15217391304347827,0.14285714285714285,0.021739130434782608
rasyan,1463,1457,43,3,6,55.779999999999994,0.029512697323266987,0.06976744186046512,0.002059025394646534
andrea,226,220,22,3,4,53.769999999999996,0.1,0.13636363636363635,0.013636363636363636
australis,134,134,2,1,1,50.510000000000005,0.014925373134328358,0.5,0.007462686567164179
cettua,90,72,16,3,3,50.419999999999995,0.2222222222222222,0.1875,0.041666666666666664
dobrovit,56,50,6,1,1,49.05,0.12,0.16666666666666666,0.02
busch,86,86,9,1,1,46.47,0.10465116279069768,0.1111111111111111,0.011627906976744186
kondor,284,283,11,1,1,43.73,0.038869257950530034,0.09090909090909091,0.0035335689045936395
helloganic,87,84,14,1,1,39.589999999999996,0.16666666666666666,0.07142857142857142,0.011904761904761904
juno,75,74,15,2,2,36.39,0.20270270270270271,0.13333333333333333,0.02702702702702703
everyang,84,83,10,2,2,31.740000000000002,0.12048192771084337,0.2,0.024096385542168676
arganoil,112,107,10,0,1,19.81,0.09345794392523364,0.0,0.0
lunaris,37,37,4,1,1,16.19,0.10810810810810811,0.25,0.02702702702702703
weaver,66,64,12,1,1,15.78,0.1875,0.08333333333333333,0.015625
zab,41,41,11,1,1,11.86,0.2682926829268293,0.09090909090909091,0.024390243902439025
skinity,38,38,6,1,1,9.52,0.15789473684210525,0.16666666666666666,0.02631578947368421
philips,43,40,4,1,1,2.86,0.1,0.25,0.025
cosima,80,77,21,1,1,1.19,0.2727272727272727,0.047619047619047616,0.012987012987012988
laiseven,83,83,1,0,0,0.0,0.012048192771084338,0.0,0.0
ovale,69,69,12,0,0,0.0,0.17391304347826086,0.0,0.0
bosnic,63,63,10,0,0,0.0,0.15873015873015872,0.0,0.0
fly,60,60,12,0,0,0.0,0.2,0.0,0.0
rocknailstar,56,55,3,0,0,0.0,0.05454545454545454,0.0,0.0
dancoly,49,47,6,0,0,0.0,0.1276595744680851,0.0,0.0
essie,45,45,0,0,0,0.0,0.0,,0.0
blise,43,43,2,0,0,0.0,0.046511627906976744,0.0,0.0
embryolisse,40,40,0,0,0,0.0,0.0,,0.0
uralsoap,38,38,0,0,0,0.0,0.0,,0.0
rorec,32,32,3,0,0,0.0,0.09375,0.0,0.0
macadamia,24,24,2,0,0,0.0,0.08333333333333333,0.0,0.0
ibd,18,18,0,0,0,0.0,0.0,,0.0
cuccio,18,18,0,0,0,0.0,0.0,,0.0
barbie,16,16,5,0,0,0.0,0.3125,0.0,0.0
invisibobble,15,15,1,0,0,0.0,0.06666666666666667,0.0,0.0
pilaten,19,15,6,0,0,0.0,0.4,0.0,0.0
bodipure,12,12,0,0,0,0.0,0.0,,0.0
footlogix,12,12,0,0,0,0.0,0.0,,0.0
nova,12,12,0,0,0,0.0,0.0,,0.0
voesh,9,9,0,0,0,0.0,0.0,,0.0
ikoo,7,7,0,0,0,0.0,0.0,,0.0
dessata,5,5,0,0,0,0.0,0.0,,0.0
vl-gel,4,4,0,0,0,0.0,0.0,,0.0
shifei,3,3,0,0,0,0.0,0.0,,0.0
gena,3,3,0,0,0,0.0,0.0,,0.0
pueen,1,1,0,0,0,0.0,0.0,,0.0
